Author,Title,New price,Old price,Stock
Matt Haig,Vidurnakčio biblioteka,9.25 €,15.59 €, Turime sandėlyje.
Katherine May,Žiemojimas. Kaip priimti natūral...,17.54 €,19.49 €, Turime sandėlyje.
Daniel Mason,Žiemos kareivis,9.25 €,18.49 €, Turime sandėlyje.
Algimantas Katilius,Aš prašau duonos: paauglio dieno...,12.25 €,14.39 €, Turime sandėlyje.
Cristina Alger,BANKININKO ŽMONA. Tamsūs bankini...,13.99 €,17.49 €, Turime sandėlyje.
Erich Maria Remarque,JUODASIS OBELISKAS: bene stipria...,15.11 €,20.15 €, Turime sandėlyje.
Vladimir Nabokov,"Kalbėk, atmintie",15.11 €,20.15 €, Turime sandėlyje.
John Steinbeck,Kelionės su Čarliu ieškant Amerikos,15.11 €,20.15 €, Turime sandėlyje.
Vladas Korsakovas,Mano anūko istorijos,15.69 €,18.49 €, Turime sandėlyje.
Gediminas Navaitis,Meilės ir šeimos psichologija: v...,10.21 €,14.59 €, Turime sandėlyje.
No data,"Metų laikai: žaisk, spręsk, pram...",15.15 €,17.79 €, Turime sandėlyje.
Jonathan Fisk,"7 „krikščioniškos“ taisyklės, ku...",9.19 €,10.79 €, Turime sandėlyje.
Vylius Blauzdavičius,ANT UGNIES. Žinomas mėsos eksper...,26.99 €,33.69 €, Turime sandėlyje.
"Mandy Archer, Gabi...",Istorijos 1 metų vaikams,7.82 €,8.69 €, Turime sandėlyje.
Pranė Dundulienė,Pagonybė Lietuvoje. Moteriškosio...,6.09 €,7.19 €, Turime sandėlyje.
"Lee Cohen, Mona Go...",Pianistė iš Vienos,11.33 €,12.59 €, Turime sandėlyje.
Anne Glenconner,RŪMŲ DAMA: NEPAPRASTAS MANO GYVE...,15.99 €,19.99 €, Turime sandėlyje.
Pranė Dundulienė,Senovės lietuvių mitologija ir r...,7.65 €,8.99 €, Turime sandėlyje.
Romualdas Vilimas,Automobilio oro kondicionierius,9.75 €,12.19 €, Turime sandėlyje.
Inga Narijauskienė,"Diena, kai pelėdai Drūlijai buvo...",24.49 €,28.79 €, Turime sandėlyje.
Louise L. Hay,Moters galia tapti laiminga,7.65 €,8.99 €, Turime sandėlyje.
Philippe J. Dubois...,Nepaprastas paukščių gyvenimas,17.99 €,21.09 €, Turime sandėlyje.
"Ed Tronick, Claudi...",Nesutarimų galia. Raktas į artum...,12.49 €,14.69 €, Turime sandėlyje.
Elisabeth Noreback,"PASAKYK, KAD ESI MANO",17.99 €,21.09 €, Turime sandėlyje.
No data,Plaštakių sodas: grandymo menas,12.99 €,15.29 €, Turime sandėlyje.
Salomėja Nėris,Senelės pasaka: įgarsinta vakaro...,17.09 €,18.99 €, Išsiųsime per 3–4 d.d.
No data,Sodo dienoraštis: darbai pagal M...,5.69 €,6.69 €, Liko vos keli vienetai.
No data,Stebuklingos būtybės: grandymo m...,12.99 €,15.29 €, Turime sandėlyje.
Henrik Meinander,Suomijos istorija (2021),14.49 €,17.09 €, Turime sandėlyje.
Rolandas Rastauskas,Venecija tiesiogiai,15.29 €,17.99 €, Turime sandėlyje.
Trent Dalton,Visi mūsų tviskantys dangūs,16.27 €,21.69 €, Turime sandėlyje.
B.A. Paris,Anapus uždarų durų,13.84 €,18.49 €, Turime sandėlyje.
Jolanta Valikonė,Auksinės mintys,15.19 €,17.79 €, Turime sandėlyje.
Paulina Kuodytė,Kietos mintys,15.19 €,17.79 €, Turime sandėlyje.
No data,Pažaiskime. 111 žaidimų idėjų,14.69 €,17.29 €, Turime sandėlyje.
Matt Haig,"Peliukas, vardu Mika",12.23 €,14.39 €, Turime sandėlyje.
Lorraine Murray,Ramūs vaikai,14.35 €,16.85 €, Turime sandėlyje.
Tilė Vakarė,Susikurk spektaklį: 8 pjesės,10.19 €,11.99 €, Turime sandėlyje.
Natalija Krasnova,1000 ir viena naktis be sekso. J...,7.55 €,12.59 €, Turime sandėlyje.
Ingrid Carlberg,Alfredas Nobelis: jo pasaulis ir...,30.77 €,34.19 €, Turime sandėlyje.
No data,Ieškok ir tyrinėk. Metų laikai,14.39 €,15.99 €, Turime sandėlyje.
Andrei Makine,Mano draugas armėnas,9.17 €,10.79 €, Turime sandėlyje.
Natalija Krasnova,N. Krasnovos 2 knygų rinkinys: 1...,16.79 €,25.18 €, Turime sandėlyje.
No data,Po žeme: ieškok ir tyrinėk,14.39 €,15.99 €, Turime sandėlyje.
Benas Lyris,Ramybės teologija,12.14 €,13.49 €, Turime sandėlyje.
Renata Ničajienė,Sezoninė knyga 2022: planuotė,18.29 €,22.89 €, Turime sandėlyje.
Gintarė Davainienė,Svajonę paversk tikrove: kaip ga...,11.60 €,12.89 €, Liko vos keli vienetai.
No data,Žiemos naktis,7.73 €,8.59 €, Turime sandėlyje.
Patrycja Wojłkowia...,Gražaus elgesio elementorius: 4–...,10.69 €,12.59 €, Turime sandėlyje.
Simona Laiconaitė,"Keto kodas: be cukraus, be miltų...",30.59 €,35.99 €, Turime sandėlyje.
Anna Lang,Kaip išmokyti savo drakoną sakyt...,5.39 €,7.19 €, Turime sandėlyje.
Anna Lang,Kaip išmokyti savo drakoną sakyt...,5.39 €,7.19 €, Turime sandėlyje.
Anna Lang,Kaip išmokyti savo drakoną sakyt...,5.39 €,7.19 €, Turime sandėlyje.
Anna Lang,Kaip išmokyti savo drakoną sakyt...,5.39 €,7.19 €, Turime sandėlyje.
Carla Naumburg,Kaip nepratrūkti bendraujant su...,10.45 €,12.29 €, Turime sandėlyje.
No data,Treniruočių žurnalas Only get be...,No data,No data, Išparduota.
Ciceronas,Apie pranašavimą,18.35 €,21.59 €, Turime sandėlyje.
C. S. Lewis,Aušros užkariautojo kelionė. Nar...,10.70 €,11.89 €, Turime sandėlyje.
Donato Carrisi,Blogio labirintas,10.55 €,18.49 €, Turime sandėlyje.
C. S. Lewis,Burtininko sūnėnas. Narnijos kro...,10.70 €,11.89 €, Turime sandėlyje.
Peter Sloterdijk,Burtų medis,9.25 €,18.49 €, Turime sandėlyje.
Taffy Brodesser-Akner,"FLEIŠMANUI NESISEKA. Įžvalgi, ka...",13.99 €,17.49 €, Turime sandėlyje.
Kristina Savickytė...,Kaip Tilis džiaugsmo ieškojo. Pa...,11.60 €,12.89 €, Turime sandėlyje.
Rita Šilenskienė,Keto meniu,22.49 €,24.99 €, Turime sandėlyje.
Irene Vallejo,Knygos gimimas. Kaip užrašytas ž...,32.21 €,35.79 €, Turime sandėlyje.
Sam Taplin,"Laikas miegoti, lokiuk",14.02 €,18.69 €, Turime sandėlyje.
C. S. Lewis,"Liūtas, ragana ir drabužių spint...",10.70 €,11.89 €, Turime sandėlyje.
Jason Fung,Nutukimo kodas: atskleidžiame sv...,9.99 €,17.99 €, Turime sandėlyje.
C. S. Lewis,Paskutinis mūšis. Narnijos kroni...,10.70 €,11.89 €, Turime sandėlyje.
Joanne Harris,Penki ketvirčiai apelsino (2021),9.25 €,18.49 €, Turime sandėlyje.
C. S. Lewis,Princas Kaspianas. Narnijos kron...,10.70 €,11.89 €, Turime sandėlyje.
C. S. Lewis,Sidabrinis krėslas. Narnijos kro...,10.70 €,11.89 €, Turime sandėlyje.
Vaclav Smil,"Skaičiai nemeluoja: 71 dalykas,...",7.35 €,12.59 €, Turime sandėlyje.
Katherine Paterson,Smarkuolė Gilė Hopkins (2021),8.36 €,9.29 €, Turime sandėlyje.
David Epstein,Sporto genas: įspūdingų pasiekim...,9.99 €,17.99 €, Turime sandėlyje.
No data,Vakaro istorijos apie gyvūnus,14.55 €,17.09 €, Turime sandėlyje.
Vigintas Šakys,Veiklos analitikos praktikumas s...,30.59 €,35.99 €, Turime sandėlyje.
C. S. Lewis,Žirgas ir jo berniukas. Narnijos...,10.70 €,11.89 €, Turime sandėlyje.
Serhij Žadan,Internatas,11.89 €,17.59 €, Turime sandėlyje.
P.L. Travers,Merė Popins. Merė Popins grįžta...,15.69 €,18.45 €, Turime sandėlyje.
Jevgenij Zamiatin,Mes (2021),10.99 €,16.29 €, Turime sandėlyje.
Edward Bernays,Propaganda,10.99 €,16.29 €, Turime sandėlyje.
Kim Leine,Raudonas žmogus. Juodas žmogus,13.71 €,19.59 €, Turime sandėlyje.
Tove Jansson,Troliai Mumiai. Burtininko skryb...,11.79 €,13.79 €, Turime sandėlyje.
Ragnar Jónasson,Akinantis sniegas,12.74 €,16.99 €, Turime sandėlyje.
Sebastian Fitzek,Dovana,12.79 €,15.99 €, Turime sandėlyje.
Valentina Zeitler,Jonušas Radvila. Likimo spąstai,12.29 €,14.39 €, Išsiųsime per 3–7 d.d.
Chris Carter,Juk esu Mirtis,12.79 €,16.59 €, Turime sandėlyje.
Julian Baggini,Kaip mąsto pasaulis,17.83 €,23.79 €, Turime sandėlyje.
Sven Nordqvist,Kalėdų Senelio staigmena,14.15 €,16.65 €, Turime sandėlyje.
Kimberley Chambers,Kvinė (2021),14.39 €,17.99 €, Turime sandėlyje.
Tamara Bairašauskaitė,Lietuvos totorių istorija,19.89 €,23.39 €, Turime sandėlyje.
Lesley Pearse,Melagė,12.15 €,15.19 €, Turime sandėlyje.
Ann Patchett,Olandų namas,13.12 €,17.49 €, Turime sandėlyje.
Sven Nordqvist,Petsono ir Finduso Kalėdos,11.25 €,13.25 €, Turime sandėlyje.
Leonard Mlodinow,Stephen Hawking: atsiminimai api...,14.39 €,17.99 €, Turime sandėlyje.
Tove Jansson,Troliai Mumiai. Mažieji troliai...,9.59 €,11.29 €, Turime sandėlyje.
Hans Rosenfeldt,Vilkų vasara,14.39 €,19.19 €, Turime sandėlyje.
Jūratė Micevičiūtė,4 keliai prie gyvybės medžio: li...,12.99 €,15.29 €, Turime sandėlyje.
"Albertas Milinis,...",Lietuvos baudžiamoji teisė. Spec...,No data,No data, Išparduota.
